text_fr,category,note,source
Bonjour, comment allez-vous aujourd'hui ?,Vie quotidienne,,lot1
Bonsoir, j'espère que vous avez passé une bonne journée.,Vie quotidienne,,lot1
Quel est ton nom ?,Vie quotidienne,,lot1
Je m'appelle Fatimata et j'habite à Ouagadougou.,Vie quotidienne,,lot1
D'où viens-tu ?,Vie quotidienne,,lot1
Il fait très chaud aujourd'hui, tu ne trouves pas ?,Vie quotidienne,,lot1
La saison des pluies commence bientôt.,Vie quotidienne,,lot1
Merci beaucoup pour ton aide.,Vie quotidienne,,lot1
Excuse-moi, je suis un peu en retard.,Vie quotidienne,,lot1
À quelle heure te lèves-tu le matin ?,Vie quotidienne,,lot1
Ma famille habite dans un petit village.,Vie quotidienne,,lot1
J'aime beaucoup écouter de la musique le soir.,Vie quotidienne,,lot1
Peux-tu m'aider à porter ce sac ?,Vie quotidienne,,lot1
Nous nous retrouverons devant la mosquée demain.,Vie quotidienne,,lot1
Où se trouve le marché le plus proche ?,Commerce,,lot1
Combien coûte ce sac de riz ?,Commerce,« sac » désigne ici une unité de mesure locale,lot1
Ce prix est trop élevé, pouvez-vous baisser un peu ?,Commerce,,lot1
J'aimerais acheter trois kilos de tomates.,Commerce,,lot1
Le vendeur n'a plus de sucre en stock.,Commerce,,lot1
Est-ce que vous acceptez le paiement mobile ?,Commerce,,lot1
Le marché est très animé le jour du grand marché.,Commerce,,lot1
Je voudrais vendre mes légumes ce matin.,Commerce,,lot1
Le prix du mil a beaucoup augmenté cette année.,Commerce,,lot1
Avez-vous de la monnaie sur ce billet ?,Commerce,,lot1
L'eau potable est essentielle pour la santé de la communauté.,Santé,,lot1
Le centre de santé est ouvert du lundi au vendredi.,Santé,,lot1
J'ai mal à la tête depuis ce matin.,Santé,,lot1
Il faut se laver les mains avant de manger.,Santé,,lot1
L'infirmière a vacciné tous les enfants du village.,Santé,,lot1
Ma grand-mère doit prendre ses médicaments chaque matin.,Santé,,lot1
La moustiquaire protège contre le paludisme.,Santé,,lot1
Le bébé a de la fièvre depuis hier soir.,Santé,,lot1
Il est important de bien se reposer quand on est malade.,Santé,,lot1
Les pluies de cette année ont été bénéfiques pour les récoltes.,Agriculture,,lot1
Les paysans préparent les champs avant la saison des pluies.,Agriculture,,lot1
Cette année, la récolte de mil a été abondante.,Agriculture,,lot1
Il faut arroser les cultures tous les jours en saison sèche.,Agriculture,,lot1
Le troupeau de vaches pâture près de la rivière.,Agriculture,,lot1
Les engrais permettent d'améliorer le rendement des cultures.,Agriculture,,lot1
Mon père cultive du sorgho et de l'arachide.,Agriculture,,lot1
La sécheresse a détruit une partie des récoltes.,Agriculture,,lot1
Nous avons planté des arbres autour du champ.,Agriculture,,lot1
Veuillez remplir ce formulaire avec vos informations personnelles.,Administration,,lot1
J'ai besoin d'une copie de mon acte de naissance.,Administration,,lot1
Le maire organise une réunion avec les habitants du village.,Administration,,lot1
Il faut présenter une pièce d'identité pour ce service.,Administration,,lot1
La mairie est fermée les jours fériés.,Administration,,lot1
Cette demande doit être déposée avant la fin du mois.,Administration,,lot1
L'agent administratif va vérifier votre dossier.,Administration,,lot1
Les élections locales auront lieu le mois prochain.,Administration,,lot1
Les enfants doivent être inscrits à l'école avant la rentrée.,Éducation,,lot1
Le maître explique la leçon de mathématiques.,Éducation,,lot1
Elle étudie chaque soir après avoir aidé sa mère.,Éducation,,lot1
L'école du village manque de bancs pour les élèves.,Éducation,,lot1
Il a obtenu son diplôme avec de très bons résultats.,Éducation,,lot1
Les cours reprennent la semaine prochaine.,Éducation,,lot1
Apprendre à lire et à écrire change la vie d'un enfant.,Éducation,,lot1
